,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,99,2000,0.03
1,20,0.0,199,4000,0.18
2,20,1.0,299,6000,0.18
3,20,1.0,399,8000,0.29
4,20,0.0,499,10000,0.28
5,20,1.0,599,12000,0.22
6,20,0.0,699,14000,0.3
7,20,0.0,799,16000,0.42
8,20,2.0,899,18000,0.35
9,20,2.0,999,20000,0.44
10,20,0.0,1099,22000,0.45
11,20,0.0,1199,24000,0.63
12,20,1.0,1299,26000,0.51
13,20,0.0,1399,28000,0.55
14,20,1.0,1499,30000,0.4
15,20,1.0,1599,32000,0.63
16,20,1.0,1699,34000,0.43
17,20,1.0,1799,36000,0.6
18,20,0.0,1899,38000,0.56
19,20,1.0,1999,40000,0.54
20,20,1.0,2099,42000,0.73
21,20,1.0,2199,44000,0.68
22,20,1.0,2299,46000,0.63
23,20,1.0,2399,48000,0.59
24,20,0.0,2499,50000,0.66
25,20,1.0,2599,52000,0.76
26,20,1.0,2699,54000,0.68
27,20,0.0,2799,56000,0.79
28,20,1.0,2899,58000,0.81
29,20,1.0,2999,60000,0.84
30,20,1.0,3099,62000,0.92
31,20,0.0,3199,64000,0.84
32,20,2.0,3299,66000,0.91
33,20,0.0,3399,68000,0.86
34,20,2.0,3499,70000,0.96
35,20,1.0,3599,72000,1.01
36,20,1.0,3699,74000,0.96
37,20,-1.0,3799,76000,1.09
38,20,0.0,3899,78000,0.95
39,20,2.0,3999,80000,1.07
40,20,0.0,4099,82000,1.11
41,20,2.0,4199,84000,1.0
42,20,-1.0,4299,86000,1.05
43,20,1.0,4399,88000,0.95
44,20,0.0,4499,90000,1.08
45,20,1.0,4599,92000,1.07
46,20,1.0,4699,94000,1.06
47,20,0.0,4799,96000,0.95
48,20,1.0,4899,98000,0.94
49,20,2.0,4999,100000,1.12
