,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.07
1,20,-1.0,199,4000,0.31
2,20,1.0,299,6000,0.26
3,20,0.0,399,8000,0.46
4,20,1.0,499,10000,0.52
5,20,0.0,599,12000,0.59
6,20,1.0,699,14000,0.7
7,20,2.0,799,16000,0.76
8,20,2.0,899,18000,0.83
9,20,1.0,999,20000,0.98
10,20,1.0,1099,22000,1.11
11,20,2.0,1199,24000,1.11
12,20,1.0,1299,26000,1.29
13,20,1.0,1399,28000,1.23
14,20,1.0,1499,30000,1.18
15,20,1.0,1599,32000,1.21
16,20,2.0,1699,34000,1.31
17,20,2.0,1799,36000,1.24
18,20,2.0,1899,38000,1.21
19,20,2.0,1999,40000,1.29
20,20,2.0,2099,42000,1.3
21,20,1.0,2199,44000,1.29
22,20,1.0,2299,46000,1.27
23,20,2.0,2399,48000,1.39
24,20,2.0,2499,50000,1.31
25,20,1.0,2599,52000,1.38
26,20,1.0,2699,54000,1.45
27,20,2.0,2799,56000,1.42
28,20,1.0,2899,58000,1.47
29,20,2.0,2999,60000,1.41
30,20,2.0,3099,62000,1.38
31,20,2.0,3199,64000,1.55
32,20,1.0,3299,66000,1.33
33,20,1.0,3399,68000,1.49
34,20,2.0,3499,70000,1.42
35,20,1.0,3599,72000,1.44
36,20,2.0,3699,74000,1.4
37,20,2.0,3799,76000,1.51
38,20,2.0,3899,78000,1.45
39,20,2.0,3999,80000,1.48
40,20,0.0,4099,82000,1.35
41,20,1.0,4199,84000,1.49
42,20,2.0,4299,86000,1.37
43,20,2.0,4399,88000,1.44
44,20,1.0,4499,90000,1.49
45,20,2.0,4599,92000,1.46
46,20,1.0,4699,94000,1.43
47,20,1.0,4799,96000,1.46
48,20,1.0,4899,98000,1.43
49,20,1.0,4999,100000,1.43
