,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.03
1,20,0.0,199,4000,0.18
2,20,-1.0,299,6000,0.23
3,20,1.0,399,8000,0.32
4,20,0.0,499,10000,0.27
5,20,1.0,599,12000,0.39
6,20,-1.0,699,14000,0.47
7,20,0.0,799,16000,0.64
8,20,2.0,899,18000,0.69
9,20,1.0,999,20000,0.68
10,20,2.0,1099,22000,0.8
11,20,2.0,1199,24000,0.64
12,20,1.0,1299,26000,0.74
13,20,-1.0,1399,28000,0.75
14,20,2.0,1499,30000,0.87
15,20,2.0,1599,32000,1.0
16,20,1.0,1699,34000,0.91
17,20,0.0,1799,36000,0.95
18,20,1.0,1899,38000,1.0
19,20,1.0,1999,40000,0.84
20,20,-1.0,2099,42000,1.0
21,20,1.0,2199,44000,0.86
22,20,3.0,2299,46000,1.11
23,20,2.0,2399,48000,1.12
24,20,-1.0,2499,50000,0.91
25,20,1.0,2599,52000,1.2
26,20,0.0,2699,54000,1.1
27,20,2.0,2799,56000,1.15
28,20,2.0,2899,58000,1.04
29,20,1.0,2999,60000,1.2
30,20,1.0,3099,62000,1.26
31,20,0.0,3199,64000,1.24
32,20,1.0,3299,66000,1.21
33,20,0.0,3399,68000,1.39
34,20,1.0,3499,70000,1.24
35,20,0.0,3599,72000,1.31
36,20,1.0,3699,74000,1.11
37,20,2.0,3799,76000,1.35
38,20,3.0,3899,78000,1.27
39,20,1.0,3999,80000,1.23
40,20,1.0,4099,82000,1.21
41,20,2.0,4199,84000,1.45
42,20,2.0,4299,86000,1.41
43,20,1.0,4399,88000,1.24
44,20,1.0,4499,90000,1.3
45,20,2.0,4599,92000,1.41
46,20,1.0,4699,94000,1.31
47,20,1.0,4799,96000,1.27
48,20,2.0,4899,98000,1.3
49,20,2.0,4999,100000,1.34
